"pais","departamento","provincia","municipio","recinto","latitud","longitud","ABSTENCION","BLANCOS","EMITIDOS","INSCRITOS","NO","NULOS","SI","VALIDOS"
"Bolivia","Beni","Cercado","San Javier","ESCUELA ESPIRITU SANTO",-64.80295,-14.63469,7,0,34,41,13,0,21,34
"Bolivia","Beni","Cercado","San Javier","ESCUELA LAGUNA COLORADA",-64.63057,-14.63861,15,0,33,48,14,0,19,33
"Bolivia","Beni","Cercado","San Javier","ESCUELA NUEVA ISRAEL",-64.3355,-14.67209,110,7,420,530,195,36,182,377
"Bolivia","Beni","Cercado","San Javier","ESCUELA PEDRO IGNACIO MUIBA",-64.08376,-14.49183,23,1,161,184,74,0,86,160
"Bolivia","Beni","Cercado","San Javier","ESCUELA SAN JAVIER",-64.88087,-14.59987,63,4,287,350,141,2,140,281
"Bolivia","Beni","Cercado","San Javier","ESCUELA SAN PEDRO",-64.90086,-14.33668,79,2,319,398,157,10,150,307
"Bolivia","Beni","Cercado","San Javier","U.E. LA CURVA",-64.20807,-14.58863,41,2,100,141,37,3,58,95
"Bolivia","Beni","Cercado","Trinidad","CARCEL DE MUJERES",-64.90281,-14.84692,9,1,36,45,19,0,16,35
"Bolivia","Beni","Cercado","Trinidad","CARCEL MOCOBI",-64.90376,-14.77958,0,0,178,178,62,50,66,128
"Bolivia","Beni","Cercado","Trinidad","CENTRO INTEGRADO SAN FRANCISCO DE ASIS",-64.88588,-14.82278,85,4,686,771,488,11,183,671
"Bolivia","Beni","Cercado","Trinidad","COL. JOAQUIN HURTADO CHAVEZ",-64.90425,-14.81511,383,17,1922,2305,1225,38,642,1867
"Bolivia","Beni","Cercado","Trinidad","COL. LA SALLE",-64.89569,-14.82676,329,5,1457,1786,1045,38,369,1414
"Bolivia","Beni","Cercado","Trinidad","COL. SAN VICENTE (EX UAB)",-64.91093,-14.8346,631,20,3141,3772,2072,80,969,3041
"Bolivia","Beni","Cercado","Trinidad","ESC.4 DE  FEBRERO",-64.90131,-14.84447,801,36,3606,4407,2139,91,1340,3479
"Bolivia","Beni","Cercado","Trinidad","ESC.CORINA HURTADO DE",-64.89422,-14.84378,458,15,2434,2892,1438,50,931,2369
"Bolivia","Beni","Cercado","Trinidad","ESC.J.AZURDUY DE PADILLA",-64.8893,-14.82634,271,8,1612,1883,1128,36,440,1568
"Bolivia","Beni","Cercado","Trinidad","ESC.J. CHAVEZ SUAREZ",-64.90463,-14.8414,1158,36,5202,6360,3120,112,1934,5054
"Bolivia","Beni","Cercado","Trinidad","ESC.J. LORENZO CAMPERO",-64.89998,-14.8257,226,7,1423,1649,982,23,411,1393
"Bolivia","Beni","Cercado","Trinidad","ESC. LOMA SUAREZ",-64.96272,-14.76063,202,7,444,646,182,19,236,418
"Bolivia","Beni","Cercado","Trinidad","ESC. MANGALITO",-64.91572,-14.84847,371,11,1608,1979,872,32,693,1565
"Bolivia","Beni","Cercado","Trinidad","ESC.MARY RIBERA G.",-64.88783,-14.81399,613,20,3832,4445,2571,95,1146,3717
"Bolivia","Beni","Cercado","Trinidad","ESC.MAYOR PEDRO VACA DIEZ",-64.96582,-14.86952,100,3,236,336,109,1,123,232
"Bolivia","Beni","Cercado","Trinidad","ESC.NICOLAS SUAREZ",-64.90492,-14.83268,444,10,2080,2524,1516,37,517,2033
"Bolivia","Beni","Cercado","Trinidad","ESC. NUESTRA SEÑORA DE FATIMA",-64.89811,-14.83099,758,18,3338,4096,2229,82,1009,3238
"Bolivia","Beni","Cercado","Trinidad","ESC. PEDRO IGNACIO MUIBA",-64.91414,-14.84481,472,25,2346,2818,1413,96,812,2225
"Bolivia","Beni","Cercado","Trinidad","ESC.PUERTO BALLIVIAN",-64.97205,-14.79312,20,2,119,139,55,0,62,117
"Bolivia","Beni","Cercado","Trinidad","ESC. PUERTO VARADOR",-64.99762,-14.87702,128,13,453,581,242,21,177,419
"Bolivia","Beni","Cercado","Trinidad","ESC. RAUL MONJE ROCA",-64.8938,-14.83707,439,7,2240,2679,1414,74,745,2159
"Bolivia","Beni","Cercado","Trinidad","ESC.SAN ANTONIO",-64.91032,-14.83844,573,47,3077,3650,2005,42,983,2988
"Bolivia","Beni","Cercado","Trinidad","ESC.SAN JOSE",-64.90439,-14.82626,209,9,1272,1481,931,21,311,1242
"Bolivia","Beni","Cercado","Trinidad","ESC.SAN JUAN DE AGUAS DULCES",-64.57809,-14.80817,12,0,89,101,67,0,22,89
"Bolivia","Beni","Cercado","Trinidad","ESCUELA 13 DE ABRIL",-64.8902,-14.83764,333,22,2304,2637,1262,129,891,2153
"Bolivia","Beni","Cercado","Trinidad","ESCUELA CASARABE",-64.47997,-14.87161,112,3,415,527,228,9,175,403
"Bolivia","Beni","Cercado","Trinidad","ESCUELA EMILIO CAMPOS PEDRIEL",-64.8847,-14.81962,388,12,1994,2382,1324,39,619,1943
"Bolivia","Beni","Cercado","Trinidad","ESCUELA IVIATO",-64.44854,-14.83285,40,1,172,212,94,0,77,171
"Bolivia","Beni","Cercado","Trinidad","ESCUELA NUEVA TRINIDAD",-64.8754,-14.82357,857,28,3145,4002,1882,72,1163,3045
"Bolivia","Beni","Cercado","Trinidad","ESC. URBANIZ.MANA",-64.9059,-14.77769,100,2,512,612,306,5,199,505
"Bolivia","Beni","Cercado","Trinidad","ESC. VILLA VECINAL",-64.87392,-14.81023,400,26,2609,3009,1791,40,752,2543
"Bolivia","Beni","Cercado","Trinidad","INFOCAL",-64.90236,-14.82328,231,7,1082,1313,736,19,320,1056
"Bolivia","Beni","Cercado","Trinidad","LICEO MARIO SAIELLY",-64.90276,-14.83593,321,6,1655,1976,1150,17,482,1632
"Bolivia","Beni","Cercado","Trinidad","U.A.B. (CARRERA DE DERECHO)",-64.91308,-14.83274,454,46,2151,2605,1438,31,636,2074
"Bolivia","Beni","Cercado","Trinidad","U.E 15 DE AGOSTO",-64.92943,-14.83425,115,11,811,926,454,19,327,781
"Bolivia","Beni","Cercado","Trinidad","U.E GONZALO SUAREZ D.",-64.90136,-14.85325,80,5,337,417,214,4,114,328
"Bolivia","Beni","Cercado","Trinidad","U.E LUIS ESPINAL CAMS",-64.92085,-14.84365,160,16,1065,1225,577,22,450,1027
"Bolivia","Beni","Cercado","Trinidad","U.E. ORLANDO MONASTERIO CLAURE",-64.93098,-14.8181,22,7,259,281,151,4,97,248
"Bolivia","Beni","General Jose Ballivián Segurola","Puerto Rurrenabaque","ESC. ASUNCION DEL QUIQUIBEY",-67.51161,-14.64125,29,2,73,102,36,2,33,69
