"pais","departamento","provincia","municipio","recinto","ABSTENCION","BLANCOS","EMITIDOS","INSCRITOS","NO","NULOS","SI","VALIDOS"
"Bolivia","Beni","Cercado","San Javier","ESCUELA ESPIRITU SANTO",7,0,34,41,13,0,21,34
"Bolivia","Beni","Cercado","San Javier","ESCUELA LAGUNA COLORADA",15,0,33,48,14,0,19,33
"Bolivia","Beni","Cercado","San Javier","ESCUELA NUEVA ISRAEL",110,7,420,530,195,36,182,377
"Bolivia","Beni","Cercado","San Javier","ESCUELA PEDRO IGNACIO MUIBA",23,1,161,184,74,0,86,160
"Bolivia","Beni","Cercado","San Javier","ESCUELA SAN JAVIER",63,4,287,350,141,2,140,281
"Bolivia","Beni","Cercado","San Javier","ESCUELA SAN PEDRO",79,2,319,398,157,10,150,307
"Bolivia","Beni","Cercado","San Javier","U.E. LA CURVA",41,2,100,141,37,3,58,95
"Bolivia","Beni","Cercado","Trinidad","CARCEL DE MUJERES",9,1,36,45,19,0,16,35
"Bolivia","Beni","Cercado","Trinidad","CARCEL MOCOBI",0,0,178,178,62,50,66,128
"Bolivia","Beni","Cercado","Trinidad","CENTRO INTEGRADO SAN FRANCISCO DE ASIS",85,4,686,771,488,11,183,671
"Bolivia","Beni","Cercado","Trinidad","COL. JOAQUIN HURTADO CHAVEZ",383,17,1922,2305,1225,38,642,1867
"Bolivia","Beni","Cercado","Trinidad","COL. LA SALLE",329,5,1457,1786,1045,38,369,1414
"Bolivia","Beni","Cercado","Trinidad","COL. SAN VICENTE (EX UAB)",631,20,3141,3772,2072,80,969,3041
"Bolivia","Beni","Cercado","Trinidad","ESC.4 DE  FEBRERO",801,36,3606,4407,2139,91,1340,3479
"Bolivia","Beni","Cercado","Trinidad","ESC.CORINA HURTADO DE",458,15,2434,2892,1438,50,931,2369
"Bolivia","Beni","Cercado","Trinidad","ESC.J.AZURDUY DE PADILLA",271,8,1612,1883,1128,36,440,1568
"Bolivia","Beni","Cercado","Trinidad","ESC.J. CHAVEZ SUAREZ",1158,36,5202,6360,3120,112,1934,5054
"Bolivia","Beni","Cercado","Trinidad","ESC.J. LORENZO CAMPERO",226,7,1423,1649,982,23,411,1393
"Bolivia","Beni","Cercado","Trinidad","ESC. LOMA SUAREZ",202,7,444,646,182,19,236,418
"Bolivia","Beni","Cercado","Trinidad","ESC. MANGALITO",371,11,1608,1979,872,32,693,1565
"Bolivia","Beni","Cercado","Trinidad","ESC.MARY RIBERA G.",613,20,3832,4445,2571,95,1146,3717
"Bolivia","Beni","Cercado","Trinidad","ESC.MAYOR PEDRO VACA DIEZ",100,3,236,336,109,1,123,232
"Bolivia","Beni","Cercado","Trinidad","ESC.NICOLAS SUAREZ",444,10,2080,2524,1516,37,517,2033
"Bolivia","Beni","Cercado","Trinidad","ESC. NUESTRA SEÑORA DE FATIMA",758,18,3338,4096,2229,82,1009,3238
"Bolivia","Beni","Cercado","Trinidad","ESC. PEDRO IGNACIO MUIBA",472,25,2346,2818,1413,96,812,2225
"Bolivia","Beni","Cercado","Trinidad","ESC.PUERTO BALLIVIAN",20,2,119,139,55,0,62,117
"Bolivia","Beni","Cercado","Trinidad","ESC. PUERTO VARADOR",128,13,453,581,242,21,177,419
"Bolivia","Beni","Cercado","Trinidad","ESC. RAUL MONJE ROCA",439,7,2240,2679,1414,74,745,2159
"Bolivia","Beni","Cercado","Trinidad","ESC.SAN ANTONIO",573,47,3077,3650,2005,42,983,2988
"Bolivia","Beni","Cercado","Trinidad","ESC.SAN JOSE",209,9,1272,1481,931,21,311,1242
"Bolivia","Beni","Cercado","Trinidad","ESC.SAN JUAN DE AGUAS DULCES",12,0,89,101,67,0,22,89
"Bolivia","Beni","Cercado","Trinidad","ESCUELA 13 DE ABRIL",333,22,2304,2637,1262,129,891,2153
"Bolivia","Beni","Cercado","Trinidad","ESCUELA CASARABE",112,3,415,527,228,9,175,403
"Bolivia","Beni","Cercado","Trinidad","ESCUELA EMILIO CAMPOS PEDRIEL",388,12,1994,2382,1324,39,619,1943
"Bolivia","Beni","Cercado","Trinidad","ESCUELA IVIATO",40,1,172,212,94,0,77,171
"Bolivia","Beni","Cercado","Trinidad","ESCUELA NUEVA TRINIDAD",857,28,3145,4002,1882,72,1163,3045
"Bolivia","Beni","Cercado","Trinidad","ESC. URBANIZ.MANA",100,2,512,612,306,5,199,505
"Bolivia","Beni","Cercado","Trinidad","ESC. VILLA VECINAL",400,26,2609,3009,1791,40,752,2543
"Bolivia","Beni","Cercado","Trinidad","INFOCAL",231,7,1082,1313,736,19,320,1056
"Bolivia","Beni","Cercado","Trinidad","LICEO MARIO SAIELLY",321,6,1655,1976,1150,17,482,1632
"Bolivia","Beni","Cercado","Trinidad","U.A.B. (CARRERA DE DERECHO)",454,46,2151,2605,1438,31,636,2074
"Bolivia","Beni","Cercado","Trinidad","U.E 15 DE AGOSTO",115,11,811,926,454,19,327,781
"Bolivia","Beni","Cercado","Trinidad","U.E GONZALO SUAREZ D.",80,5,337,417,214,4,114,328
"Bolivia","Beni","Cercado","Trinidad","U.E LUIS ESPINAL CAMS",160,16,1065,1225,577,22,450,1027
"Bolivia","Beni","Cercado","Trinidad","U.E. ORLANDO MONASTERIO CLAURE",22,7,259,281,151,4,97,248
"Bolivia","Beni","General Jose Ballivián Segurola","Puerto Rurrenabaque","ESC. ASUNCION DEL QUIQUIBEY",29,2,73,102,36,2,33,69
"Bolivia","Beni","General Jose Ballivián Segurola","Puerto Rurrenabaque","ESC.CENTRAL NUEVOS HORIZONTES",115,9,374,489,122,29,214,336
"Bolivia","Beni","General Jose Ballivián Segurola","Puerto Rurrenabaque","ESC.CENTRAL PIEDRAS BLANCAS",100,16,586,686,79,15,476,555
"Bolivia","Beni","General Jose Ballivián Segurola","Puerto Rurrenabaque","ESC.GUALBERTO VILLARRUEL",861,31,2868,3729,1703,52,1082,2785
"Bolivia","Beni","General Jose Ballivián Segurola","Puerto Rurrenabaque","ESC. PLAYA ANCHA",27,5,164,191,12,9,138,150
"Bolivia","Beni","General Jose Ballivián Segurola","Puerto Rurrenabaque","ESCUELA VILLA LOURDES",45,5,152,197,71,3,73,144
"Bolivia","Beni","General Jose Ballivián Segurola","Puerto Rurrenabaque","UNIDAD EDUCATIVA LUCIO LENS",953,50,3672,4625,2055,165,1402,3457
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","COL. NACIONAL REYES",370,16,1409,1779,779,27,587,1366
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESC. BUEN DESTINO",21,4,102,123,17,2,79,96
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESC. CENTRAL BAQUETY",65,0,48,113,4,1,43,47
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESC.CENTRAL PUERTO CAVINAS",85,5,133,218,46,1,81,127
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESC. CONSTANZA VARGAS",11,0,24,35,13,2,9,22
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESC.JESUS ALVAREZ",471,23,1650,2121,912,74,641,1553
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESC.PEÑA AMARILLA",61,2,95,156,77,2,14,91
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESC. RENE BARRIENTOS ORTUÑO",113,1,310,423,174,9,126,300
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESC. SAN JOSE",12,1,89,101,41,5,42,83
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESC. SAN MARCOS",3,0,22,25,18,1,3,21
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESC. SORAIDA",17,0,24,41,14,0,10,24
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESCUELA DE CALIFORNIA",16,0,54,70,22,1,31,53
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","U.E. CARMEN ALTO",6,4,88,94,39,1,44,83
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","COL. ARNULFO MARTINEZ",1010,35,3361,4371,1946,68,1312,3258
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","COL.INDUSTRIAL INGAVI",666,37,2392,3058,828,69,1458,2286
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","COL.SAN FRANCISCO DE BORJA",760,29,2731,3491,1804,62,836,2640
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","ESC.DE PUERTO YUCUMO",36,3,276,312,16,6,251,267
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","ESC.EL CHACAL",62,6,300,362,3,3,288,291
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","ESC.EL PALMAR",131,20,688,819,150,19,499,649
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","ESC.GERMAN BUSCH",707,19,2407,3114,1615,47,726,2341
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","ESC. INDIGENA ARENALES",41,8,455,496,13,12,422,435
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","ESC.JUNRRENO",11,1,32,43,15,0,16,31
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","ESC. LA CRUZ",78,14,584,662,38,9,523,561
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","ESC.LA EMBOCADA",85,1,254,339,96,7,150,246
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","ESC.LAS ABRAS",12,4,77,89,6,0,67,73
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","ESC. MISION FATIMA",43,7,352,395,23,3,319,342
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","ESC.SANTA ELENA DEL CARIPO",19,1,102,121,39,0,62,101
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","ESC.S.JUAN DEL REMANZO",8,0,39,47,7,0,32,39
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","ESC. TACUARAL DE MATTOS",39,46,471,510,17,8,400,417
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","ESCUELA EL ORIENTE DEL YACUMA",26,1,79,105,34,0,44,78
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","U.E. MANGUITO",39,10,458,497,56,3,389,445
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","U.E MARCA COROICO",10,4,109,119,14,7,84,98
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","U.E. QUIQUIBEY",27,1,174,201,22,1,150,172
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","U.E SAN IGNACIO DEL MANIQUI",101,7,365,466,195,8,155,350
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","U.E VILLA SAN ANTONIO",108,6,463,571,252,13,192,444
"Bolivia","Beni","General Jose Ballivián Segurola","Santa Rosa","COLEGIO NACIONAL SANTA ROSA",263,4,654,917,407,23,220,627
"Bolivia","Beni","General Jose Ballivián Segurola","Santa Rosa","ESC.CENTRAL PALMA FLOR",45,1,71,116,40,9,21,61
"Bolivia","Beni","General Jose Ballivián Segurola","Santa Rosa","ESC.EL CANDADO",30,2,80,110,25,1,52,77
"Bolivia","Beni","General Jose Ballivián Segurola","Santa Rosa","ESC. EL CERRITO",22,1,82,104,53,1,27,80
"Bolivia","Beni","General Jose Ballivián Segurola","Santa Rosa","ESC.EL TRIUNFO",58,0,223,281,118,1,104,222
"Bolivia","Beni","General Jose Ballivián Segurola","Santa Rosa","ESC.GERARDO REYES",509,30,2303,2812,1545,43,685,2230
"Bolivia","Beni","General Jose Ballivián Segurola","Santa Rosa","ESC. PUERTO TERESA",18,0,67,85,49,1,17,66
"Bolivia","Beni","General Jose Ballivián Segurola","Santa Rosa","ESC.PUERTO YATA",66,5,119,185,81,1,32,113
"Bolivia","Beni","General Jose Ballivián Segurola","Santa Rosa","ESCUELA AUSTRALIA",79,2,155,234,75,3,75,150
