"pais","departamento","provincia","municipio","recinto","id_dpa","col_abstencion","col_blancos","col_emitidos","col_inscritos","col_no","col_nulos","col_si","col_validos"
"Bolivia","Beni","Cercado","San Javier","ESCUELA ESPIRITU SANTO",234754,7,0,34,41,13,0,21,34
"Bolivia","Beni","Cercado","San Javier","ESCUELA LAGUNA COLORADA",234755,15,0,33,48,14,0,19,33
"Bolivia","Beni","Cercado","San Javier","ESCUELA NUEVA ISRAEL",234756,110,7,420,530,195,36,182,377
"Bolivia","Beni","Cercado","San Javier","ESCUELA PEDRO IGNACIO MUIBA",234757,23,1,161,184,74,0,86,160
"Bolivia","Beni","Cercado","San Javier","ESCUELA SAN JAVIER",234758,63,4,287,350,141,2,140,281
"Bolivia","Beni","Cercado","San Javier","ESCUELA SAN PEDRO",234759,79,2,319,398,157,10,150,307
"Bolivia","Beni","Cercado","San Javier","UNIDAD EDUCATIVA LA CURVA",234760,41,2,100,141,37,3,58,95
"Bolivia","Beni","Cercado","Trinidad","CARCEL DE MUJERES",235398,9,1,36,45,19,0,16,35
"Bolivia","Beni","Cercado","Trinidad","CARCEL MOCOBI",235399,0,0,178,178,62,50,66,128
"Bolivia","Beni","Cercado","Trinidad","CENTRO INTEGRADO SAN FRANCISCO DE ASIS",235400,85,4,686,771,488,11,183,671
"Bolivia","Beni","Cercado","Trinidad","COLEGIO JOAQUIN HURTADO CHAVEZ",235401,383,17,1922,2305,1225,38,642,1867
"Bolivia","Beni","Cercado","Trinidad","COLEGIO LA SALLE",235402,329,5,1457,1786,1045,38,369,1414
"Bolivia","Beni","Cercado","Trinidad","COLEGIO SAN VICENTE (EX UAB)",235403,631,20,3141,3772,2072,80,969,3041
"Bolivia","Beni","Cercado","Trinidad","ESCUELA 13 DE ABRIL",235422,333,22,2304,2637,1262,129,891,2153
"Bolivia","Beni","Cercado","Trinidad","ESCUELA 4 DE FEBRERO",235404,801,36,3606,4407,2139,91,1340,3479
"Bolivia","Beni","Cercado","Trinidad","ESCUELA CASARABE",235423,112,3,415,527,228,9,175,403
"Bolivia","Beni","Cercado","Trinidad","ESCUELA CORINA HURTADO DE",235405,458,15,2434,2892,1438,50,931,2369
"Bolivia","Beni","Cercado","Trinidad","ESCUELA EMILIO CAMPOS PEDRIEL",235424,388,12,1994,2382,1324,39,619,1943
"Bolivia","Beni","Cercado","Trinidad","ESCUELA IVIATO",235425,40,1,172,212,94,0,77,171
"Bolivia","Beni","Cercado","Trinidad","ESCUELA J. AZURDUY DE PADILLA",235406,271,8,1612,1883,1128,36,440,1568
"Bolivia","Beni","Cercado","Trinidad","ESCUELA J. CHAVEZ SUAREZ",235407,1158,36,5202,6360,3120,112,1934,5054
"Bolivia","Beni","Cercado","Trinidad","ESCUELA J. LORENZO CAMPERO",235408,226,7,1423,1649,982,23,411,1393
"Bolivia","Beni","Cercado","Trinidad","ESCUELA LOMA SUAREZ",235409,202,7,444,646,182,19,236,418
"Bolivia","Beni","Cercado","Trinidad","ESCUELA MANGALITO",235410,371,11,1608,1979,872,32,693,1565
"Bolivia","Beni","Cercado","Trinidad","ESCUELA MARY RIBERA G.",235411,613,20,3832,4445,2571,95,1146,3717
"Bolivia","Beni","Cercado","Trinidad","ESCUELA MAYOR PEDRO VACA DIEZ",235412,100,3,236,336,109,1,123,232
"Bolivia","Beni","Cercado","Trinidad","ESCUELA NICOLAS SUAREZ",235413,444,10,2080,2524,1516,37,517,2033
"Bolivia","Beni","Cercado","Trinidad","ESCUELA NUESTRA SEÑORA DE FATIMA",235414,758,18,3338,4096,2229,82,1009,3238
"Bolivia","Beni","Cercado","Trinidad","ESCUELA NUEVA TRINIDAD",235426,857,28,3145,4002,1882,72,1163,3045
"Bolivia","Beni","Cercado","Trinidad","ESCUELA PEDRO IGNACIO MUIBA",235415,472,25,2346,2818,1413,96,812,2225
"Bolivia","Beni","Cercado","Trinidad","ESCUELA PUERTO BALLIVIAN",235416,20,2,119,139,55,0,62,117
"Bolivia","Beni","Cercado","Trinidad","ESCUELA PUERTO VARADOR",235417,128,13,453,581,242,21,177,419
"Bolivia","Beni","Cercado","Trinidad","ESCUELA RAUL MONJE ROCA",235418,439,7,2240,2679,1414,74,745,2159
"Bolivia","Beni","Cercado","Trinidad","ESCUELA SAN ANTONIO",235419,573,47,3077,3650,2005,42,983,2988
"Bolivia","Beni","Cercado","Trinidad","ESCUELA SAN JOSE",235420,209,9,1272,1481,931,21,311,1242
"Bolivia","Beni","Cercado","Trinidad","ESCUELA SAN JUAN DE AGUAS DULCES",235421,12,0,89,101,67,0,22,89
"Bolivia","Beni","Cercado","Trinidad","ESCUELA URBANIZACION MANA",235427,100,2,512,612,306,5,199,505
"Bolivia","Beni","Cercado","Trinidad","ESCUELA VILLA VECINAL",235428,400,26,2609,3009,1791,40,752,2543
"Bolivia","Beni","Cercado","Trinidad","INFOCAL",235429,231,7,1082,1313,736,19,320,1056
"Bolivia","Beni","Cercado","Trinidad","LICEO MARIO SAIELLY",235430,321,6,1655,1976,1150,17,482,1632
"Bolivia","Beni","Cercado","Trinidad","U.A.B. (CARRERA DE DERECHO)",235431,454,46,2151,2605,1438,31,636,2074
"Bolivia","Beni","Cercado","Trinidad","UNIDAD EDUCATIVA 15 DE AGOSTO",235432,115,11,811,926,454,19,327,781
"Bolivia","Beni","Cercado","Trinidad","UNIDAD EDUCATIVA GONZALO SUAREZ D.",235433,80,5,337,417,214,4,114,328
"Bolivia","Beni","Cercado","Trinidad","UNIDAD EDUCATIVA LUIS ESPINAL CAMS",235434,160,16,1065,1225,577,22,450,1027
"Bolivia","Beni","Cercado","Trinidad","UNIDAD EDUCATIVA ORLANDO MONASTERIO CLAURE",235435,22,7,259,281,151,4,97,248
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","COLEGIO NACIONAL REYES",234793,370,16,1409,1779,779,27,587,1366
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESCUELA BUEN DESTINO",234794,21,4,102,123,17,2,79,96
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESCUELA CENTRAL BAQUETY",234795,65,0,48,113,4,1,43,47
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESCUELA CENTRAL PUERTO CAVINAS",234796,85,5,133,218,46,1,81,127
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESCUELA CONSTANZA VARGAS",234797,11,0,24,35,13,2,9,22
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESCUELA DE CALIFORNIA",234804,16,0,54,70,22,1,31,53
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESCUELA JESUS ALVAREZ",234798,471,23,1650,2121,912,74,641,1553
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESCUELA PEÑA AMARILLA",234799,61,2,95,156,77,2,14,91
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESCUELA RENE BARRIENTOS ORTUÑO",234800,113,1,310,423,174,9,126,300
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESCUELA SAN JOSE",234801,12,1,89,101,41,5,42,83
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESCUELA SAN MARCOS",234802,3,0,22,25,18,1,3,21
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","ESCUELA SORAIDA",234803,17,0,24,41,14,0,10,24
"Bolivia","Beni","General Jose Ballivián Segurola","Reyes","UNIDAD EDUCATIVA CARMEN ALTO",234805,6,4,88,94,39,1,44,83
"Bolivia","Beni","General Jose Ballivián Segurola","Rurrenabaque","ESCUELA ASUNCION DEL QUIQUIBEY",232268,29,2,73,102,36,2,33,69
"Bolivia","Beni","General Jose Ballivián Segurola","Rurrenabaque","ESCUELA CENTRAL NUEVOS HORIZONTES",232269,115,9,374,489,122,29,214,336
"Bolivia","Beni","General Jose Ballivián Segurola","Rurrenabaque","ESCUELA CENTRAL PIEDRAS BLANCAS",232270,100,16,586,686,79,15,476,555
"Bolivia","Beni","General Jose Ballivián Segurola","Rurrenabaque","ESCUELA GUALBERTO VILLARRUEL",232271,861,31,2868,3729,1703,52,1082,2785
"Bolivia","Beni","General Jose Ballivián Segurola","Rurrenabaque","ESCUELA PLAYA ANCHA",232272,27,5,164,191,12,9,138,150
"Bolivia","Beni","General Jose Ballivián Segurola","Rurrenabaque","ESCUELA VILLA LOURDES",232273,45,5,152,197,71,3,73,144
"Bolivia","Beni","General Jose Ballivián Segurola","Rurrenabaque","UNIDAD EDUCATIVA LUCIO LENS",232274,953,50,3672,4625,2055,165,1402,3457
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","COLEGIO ARNULFO MARTINEZ",235524,1010,35,3361,4371,1946,68,1312,3258
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","COLEGIO INDUSTRIAL INGAVI",235525,666,37,2392,3058,828,69,1458,2286
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","COLEGIO SAN FRANCISCO DE BORJA",235526,760,29,2731,3491,1804,62,836,2640
"Bolivia","Beni","General Jose Ballivián Segurola","San Borja","ESCUELA DE PUERTO YUCUMO",235527,36,3,276,312,16,6,251,267
